sepaSite,date,weeklyAverageAf,actualBiomassOnSiteTonnes,maximumBiomassAllowedTonnes,total_AF
SAR1,2017-11-19,0.08,409.8,1500,28800
SAR1,2017-11-20,0.08285714285714287,405.9,1500,29828.57142857143
SAR1,2017-11-21,0.08571428571428572,402,1500,30857.14285714286
SAR1,2017-11-22,0.08857142857142858,398.1,1500,31885.714285714286
SAR1,2017-11-23,0.09142857142857144,394.2,1500,32914.28571428572
SAR1,2017-11-24,0.09428571428571428,390.3,1500,33942.85714285714
SAR1,2017-11-25,0.09714285714285714,386.4,1500,34971.42857142857
SAR1,2017-11-26,0.1,382.5,1500,36000
SAR1,2017-11-27,0.09857142857142856,378.6,1500,35485.71428571428
SAR1,2017-11-28,0.09714285714285714,374.7,1500,34971.42857142857
SAR1,2017-11-29,0.09571428571428572,370.8,1500,34457.14285714286
SAR1,2017-11-30,0.09428571428571428,366.9,1500,33942.85714285714
SAR1,2017-12-01,0.09285714285714286,363,1500,33428.57142857143
SAR1,2017-12-02,0.09142857142857144,357.16129032258067,1500,32914.28571428572
SAR1,2017-12-03,0.09,351.3225806451613,1500,32400
SAR1,2017-12-04,0.08714285714285715,345.48387096774195,1500,31371.428571428572
SAR1,2017-12-05,0.08428571428571428,339.64516129032256,1500,30342.857142857145
SAR1,2017-12-06,0.08142857142857143,333.80645161290323,1500,29314.285714285717
SAR1,2017-12-07,0.07857142857142857,327.9677419354839,1500,28285.714285714286
SAR1,2017-12-08,0.07571428571428572,322.1290322580645,1500,27257.14285714286
SAR1,2017-12-09,0.07285714285714287,316.2903225806452,1500,26228.571428571435
SAR1,2017-12-10,0.07,310.4516129032258,1500,25200.000000000004
SAR1,2017-12-11,0.07142857142857144,304.61290322580646,1500,25714.285714285717
SAR1,2017-12-12,0.07285714285714286,298.7741935483871,1500,0
SAR1,2017-12-13,0.07428571428571429,292.93548387096774,1500,0
SAR1,2017-12-14,0.07571428571428572,287.0967741935484,1500,0
SAR1,2017-12-15,0.07714285714285715,281.258064516129,1500,0
SAR1,2017-12-16,0.07857142857142857,275.4193548387097,1500,0
SAR1,2017-12-17,0.08,269.5806451612903,1500,0
SAR1,2017-12-18,0.08428571428571428,263.741935483871,1500,0
SAR1,2017-12-19,0.08857142857142858,257.9032258064516,1500,0
SAR1,2017-12-20,0.09285714285714286,252.06451612903223,1500,0
